epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7099,1.44253,1.85406,1.2463,0.89092,0.86861,0.93355,0.54802,1.4581,1.16609,1.15413,0.000553417,0.000553417,0.000553417
2,60.167,1.37792,1.22766,1.21185,0.90259,0.87965,0.94361,0.59099,1.26033,0.98052,1.09522,0.00110176,0.00110176,0.00110176
3,89.362,1.36825,1.11971,1.21166,0.90408,0.888,0.94378,0.59091,1.27563,0.84054,1.10964,0.00164278,0.00164278,0.00164278
4,118.659,1.32208,1.0335,1.19015,0.9157,0.86838,0.94563,0.66416,1.04266,0.712,1.03999,0.00163399,0.00163399,0.00163399
5,148.461,1.2862,0.97423,1.1736,0.9094,0.88365,0.94063,0.59413,1.25409,0.76434,1.08884,0.00162299,0.00162299,0.00162299
6,177.606,1.25511,0.93035,1.16469,0.93377,0.90792,0.96398,0.67347,1.05225,0.62698,1.02041,0.00161199,0.00161199,0.00161199
7,207.481,1.21785,0.91127,1.14685,0.93224,0.90435,0.95951,0.60534,1.25196,0.71656,1.06783,0.00160099,0.00160099,0.00160099
8,238.64,1.21236,0.88986,1.14604,0.92107,0.89119,0.9554,0.68155,0.96143,0.84814,1.01544,0.00158998,0.00158998,0.00158998
9,270.465,1.17924,0.85697,1.12885,0.92837,0.91934,0.96478,0.61246,1.28243,0.64217,1.06644,0.00157898,0.00157898,0.00157898
10,302.092,1.17714,0.83577,1.1231,0.94765,0.91745,0.97068,0.65887,1.16198,0.63813,1.03646,0.00156798,0.00156798,0.00156798
11,333.446,1.15819,0.83164,1.12277,0.94331,0.87885,0.96165,0.73107,0.87282,0.58549,0.98055,0.00155698,0.00155698,0.00155698
